Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode,Price/meter,Coeficient,Average
384560.0,148.64486399999998,2,2,38.91615282,-77.04028402,4,2000,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,2587.105868656182,0.26673120360450786,9699.299645841882
873126.0,147.43712448000005,3,3,38.91613904,-77.04001488,9,2007,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,5922.022713610642,0.6105618889864312,9699.299645841882
734160.0,91.78820352,3,4,38.91391862,-77.02993084,10,2012,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,7998.413432724302,0.8246382444894611,9699.299645841882
170430.0,130.064256,1,5,38.91576599,-77.03587825,12,1998,United States,Dupont Circle,T Street Northwest,Not found,District of Columbia,20060,1310.3523230855985,0.1350976226048806,9699.299645841882
375820.0,132.20102592,3,4,38.91615074,-77.03586414,11,2000,United States,Dupont Circle,Caroline Street Northwest,Not found,District of Columbia,20009,2842.791857208607,0.2930924871907963,9699.299645841882
642390.0,132.20102592,1,3,38.916424600000006,-77.03586359,10,2007,United States,Dupont Circle,Caroline Street Northwest,Not found,District of Columbia,20009,4859.190732670526,0.5009836699656635,9699.299645841882
983250.0,132.20102592,2,3,38.91642497,-77.03580882,3,2018,United States,Dupont Circle,Caroline Street Northwest,Not found,District of Columbia,20009,7437.536835720192,0.7668117397433624,9699.299645841882
1048800.0,115.47847872,3,2,38.91278802,-77.04681332,1,2008,United States,Dupont Circle,R Street Northwest,Not found,District of Columbia,20009,9082.211782015413,0.9363781008568988,9699.299645841882
935180.0,122.72491584,3,4,38.91239669,-77.04751859,11,2005,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,7620.131524223012,0.7856372936668458,9699.299645841882
699200.0,116.1288,3,3,38.91233326,-77.04753712,11,2008,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,6020.90093069075,0.6207562556614,9699.299645841882
201020.0,187.38543168,3,2,38.91229163,-77.04755288,4,1996,United States,Dupont Circle,Florida Avenue Northwest,Not found,District of Columbia,20009,1072.7621576435242,0.11060202249792546,9699.299645841882
742900.0,148.64486399999998,2,4,38.90775156,-77.04855453,11,2010,United States,Dupont Circle,22nd Street Northwest,Not found,District of Columbia,20036,4997.818155358534,0.5152761887814357,9699.299645841882
969266.0,148.64486399999998,3,3,38.90779596,-77.04856978,4,2015,United States,Dupont Circle,22nd Street Northwest,Not found,District of Columbia,20036,6520.682746226605,0.6722838745395437,9699.299645841882
874000.0,161.83709568,1,3,38.90835056,-77.04759361,2,2016,United States,Dupont Circle,O Street Northwest,Not found,District of Columbia,20036,5400.492367511078,0.5567919916595508,9699.299645841882
970140.0,161.83709568,2,4,38.90835085,-77.04752927,5,2014,United States,Dupont Circle,O Street Northwest,Not found,District of Columbia,20036,5994.546527937296,0.6180391107421014,9699.299645841882
1100366.0,150.68873088,3,5,38.91645850000001,-77.04071487,11,2005,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,7302.244790131449,0.7528630990652961,9699.299645841882
202768.0,130.34296512,3,4,38.90805172,-77.04811489,12,1998,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,1555.6497415362771,0.16038784225036173,9699.299645841882
707940.0,130.34296512,4,4,38.90805211,-77.04803407,7,2002,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,5431.363321743037,0.5599747940637629,9699.299645841882
218500.0,130.34296512,4,4,38.90806205,-77.04795094,7,1993,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,1676.346704241678,0.1728317265628898,9699.299645841882
