Price,Number of Bedrooms,WC,Latitude,Longitude,Agency,Property Type,Transaction Type,Status,Zone,Parish,County,Region,Number of Rooms,Typology,Floor area sq meter,Land area sq meter,Energy certification,vista,renovado,renovação,parqueamento,garagem,obras,remodelado,remodelação,com elevador,box,arrenda,arrendamento,inquilin,financiamento,logradouro,R/C
120000,3.0,2.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Apartamento,Venda,Usado,N/D,Ramada e Caneças,Odivelas,Lisboa,4.0,3,76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117000,2.0,1.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Apartamento,Venda,Usado,Caneças,Ramada e Caneças,Odivelas,Lisboa,3.0,2,82,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67000,0.0,2.0,38.7635398,-9.2013325,ERA Telheiras - ROFIMED - Sociedade de Mediação Imobiliária Lda - AMI 5404                ,Loja,Venda,Usado,Pontinha,Pontinha e Famões,Odivelas,Lisboa,0.0,0,53,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125000,3.0,2.0,38.8016253,-9.1614457,"ERA Loures Infantado - Andreia Costa Gonçalves Unipessoal, Lda - AMI 12912               ",Apartamento,Venda,Usado,Povoa Santo Adrião,Póvoa de Santo Adrião e Olival Basto,Odivelas,Lisboa,4.0,3,83,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100000,0.0,0.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Terreno,Venda,N/D,Arroteias,Ramada e Caneças,Odivelas,Lisboa,0.0,0,472,472.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Terreno,Venda,N/D,Casal do Bispo,Pontinha e Famões,Odivelas,Lisboa,0.0,0,279,279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315000,3.0,4.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Moradia,Venda,Usado,N/D,Ramada e Caneças,Odivelas,Lisboa,5.0,0,179,362.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,0.0,0.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Carrascais,Ramada e Caneças,Odivelas,Lisboa,0.0,0,360,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,0.0,0.0,38.7635398,-9.2013325,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Lote,Venda,N/D,Bairro Saramagal Grande,Pontinha e Famões,Odivelas,Lisboa,0.0,0,261,261.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295000,3.0,2.0,38.8022506,-9.1913586,"ERA Odivelas Norte - OHANA – Investimentos Imobiliários, Lda - AMI 12635               ",Apartamento,Venda,Usado,Jardim Amoreira,Ramada e Caneças,Odivelas,Lisboa,4.0,3,125,0.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
