Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
22690,141750.0,135.0,4.0,3.0,4.7330000000000005,-74.064,7,2019,Colombia,Not found,Calle 146A,Not found,Not found,111156.0
22691,74250.0,59.0,2.0,2.0,4.695,-74.083,7,2019,Colombia,Not found,Calle 95,Not found,Not found,111121.0
22692,110250.0,90.0,3.0,3.0,4.698,-74.056,7,2019,Colombia,Not found,Avenida Carrera 45,Not found,Not found,111111.0
22693,106875.0,89.0,2.0,3.0,4.695,-74.08,7,2019,Colombia,Not found,Calle 97,Not found,Not found,111121.0
22694,123750.0,99.0,2.0,3.0,4.704,-74.06,7,2019,Colombia,Not found,Carrera 51,Not found,Not found,111111.0
22695,31500.0,52.0,2.0,2.0,4.638,-74.156,7,2019,Colombia,Localidad Kennedy,Not found,Not found,Not found,110851.0
22696,74227.5,43.0,1.0,2.0,4.601,-74.152,7,2019,Colombia,Localidad Kennedy,Calle 57B Sur,Not found,Not found,110841.0
22697,65250.0,100.0,1.0,4.0,3.432,-76.514,1,2020,Colombia,Comuna 11,Calle 30,Not found,Valle del Cauca,760020.0
22705,23625.0,48.0,1.0,2.0,3.372,-76.547,1,2020,Colombia,Comuna 18,Calle 4,Not found,Valle del Cauca,760032.0
22708,54000.0,122.0,1.0,4.0,3.452,-76.495,1,2020,Colombia,Comuna 8,Carrera 8A,Not found,Valle del Cauca,760003.0
22713,28125.0,40.0,1.0,2.0,4.642,-74.188,1,2020,Colombia,Localidad Bosa,Calle 52 Sur,Not found,Not found,110711.0
22714,51750.0,34.0,1.0,1.0,4.649,-74.056,1,2020,Colombia,Localidad Chapinero,Calle 66 Bis,Not found,Not found,110231.0
22715,67500.0,80.0,2.0,4.0,7.917000000000001,-72.467,1,2020,Colombia,Not found,Calle 11,Not found,Norte de Santander,540004.0
22717,32625.0,100.0,2.0,3.0,3.4,-76.503,1,2020,Colombia,Comuna 15,Calle 55B,Not found,Valle del Cauca,760025.0
22721,96750.0,140.0,2.0,4.0,7.087999999999999,-73.117,1,2020,Colombia,Comuna 10 - Provenza,Carrera 21,Not found,Santander,680004.0
22726,60750.0,79.0,2.0,3.0,3.4,-76.544,1,2020,Colombia,Comuna 17,Carrera 64A,Not found,Valle del Cauca,760035.0
22727,55125.0,69.0,2.0,3.0,3.3960000000000004,-76.52600000000001,1,2020,Colombia,Comuna 17,Calle 18,Not found,Valle del Cauca,760033.0
22728,41625.0,66.0,2.0,3.0,3.406,-76.538,1,2020,Colombia,Comuna 17,Carrera 56,Not found,Valle del Cauca,760033.0
22729,78300.0,88.0,2.0,3.0,3.482,-76.524,1,2020,Colombia,Comuna 2,Calle 44A Norte,Not found,Valle del Cauca,760050.0
22730,61875.0,83.0,2.0,2.0,3.452,-76.554,1,2020,Colombia,Comuna 2,Calle 11 Oeste,Not found,Valle del Cauca,760101.0
22731,78525.0,88.0,2.0,3.0,3.482,-76.524,1,2020,Colombia,Comuna 2,Calle 44A Norte,Not found,Valle del Cauca,760050.0
22732,16875.0,66.0,2.0,4.0,3.487,-76.492,1,2020,Colombia,Comuna 6,Carrera 1AE,Not found,Valle del Cauca,760006.0
22743,69818.8617,81.0,2.0,3.0,4.856,-74.058,1,2020,Colombia,Casco urbano Chía,Carrera 6,Not found,Not found,250001.0
22744,26977.5,54.0,2.0,3.0,4.72,-74.21,1,2020,Colombia,Not found,Carrera 17,Not found,Not found,250020.0
22753,139500.0,178.0,2.0,3.0,10.41,-75.551,1,2020,Colombia,Not found,Calle 12,Not found,Bolívar,130001.0
22756,59625.0,59.0,2.0,3.0,4.61,-74.107,1,2020,Colombia,Localidad Puente Aranda,Calle 4,Not found,Not found,111611.0
22757,79875.0,82.0,2.0,2.0,4.695,-74.03699999999999,1,2020,Colombia,Localidad Usaquén,Avenida Calle 116,Not found,Not found,110111.0
22758,90000.0,58.0,2.0,1.0,4.684,-74.055,1,2020,Colombia,Localidad Chapinero,Transversal 21,Not found,Not found,110221.0
22759,101250.0,78.0,2.0,3.0,4.676,-74.10600000000001,1,2020,Colombia,Localidad Engativá,Carrera 73A,Not found,Not found,111071.0
22760,146250.0,80.0,2.0,2.0,4.688,-74.056,1,2020,Colombia,Localidad Usaquén,Carrera 23,Not found,Not found,110111.0
22761,81000.0,67.0,2.0,3.0,4.649,-74.056,1,2020,Colombia,Localidad Chapinero,Calle 66 Bis,Not found,Not found,110231.0
22764,101250.0,237.0,3.0,4.0,3.478,-76.514,1,2020,Colombia,Comuna 2,Calle 46 Norte,Not found,Valle del Cauca,760050.0
22765,99000.0,174.0,3.0,4.0,3.393,-76.53699999999999,1,2020,Colombia,Comuna 17,Carrera 70,Not found,Valle del Cauca,760033.0
22768,99000.0,126.0,3.0,3.0,4.749,-74.055,1,2020,Colombia,Not found,Carrera 54C,Not found,Not found,111156.0
22771,37125.0,119.0,3.0,3.0,7.891,-72.492,1,2020,Colombia,Not found,Calle 8,Not found,Norte de Santander,540001.0
22772,79875.0,94.0,3.0,3.0,3.3680000000000003,-76.517,1,2020,Colombia,Comuna 17,Carrera 99,Not found,Valle del Cauca,760026.0
22773,40500.0,87.0,3.0,3.0,3.422,-76.538,1,2020,Colombia,Comuna 19,Calle 9,Not found,Valle del Cauca,720025.0
22774,56250.0,85.0,3.0,4.0,3.384,-76.535,1,2020,Colombia,Comuna 17,Carrera 83,Not found,Valle del Cauca,760001.0
22778,146250.0,114.0,3.0,3.0,4.727,-74.042,1,2020,Colombia,Localidad Usaquén,Calle 145A,Not found,Not found,110121.0
22779,191250.0,148.0,3.0,3.0,4.696000000000001,-74.041,1,2020,Colombia,Localidad Usaquén,Avenida Calle 116,Not found,Not found,110111.0
22780,270000.0,170.0,3.0,2.0,4.667,-74.045,1,2020,Colombia,Localidad Chapinero,Calle 87,Not found,Not found,110221.0
22781,101250.0,87.0,3.0,3.0,4.725,-74.03,1,2020,Colombia,Localidad Usaquén,Not found,Not found,Not found,110131.0
22783,101250.0,87.0,3.0,3.0,4.725,-74.031,1,2020,Colombia,Localidad Usaquén,Calle 147,Not found,Not found,110131.0
22787,76500.0,162.0,4.0,4.0,7.891,-72.491,1,2020,Colombia,Not found,Avenida 9E,Not found,Norte de Santander,540001.0
22789,153000.0,132.0,4.0,3.0,4.699,-74.035,1,2020,Colombia,Localidad Usaquén,Avenida Carrera 11,Not found,Not found,110111.0
22791,303750.0,280.0,5.0,4.0,4.708,-74.063,1,2020,Colombia,Not found,Carrera 54,Not found,Not found,111111.0
22792,303750.0,295.0,5.0,4.0,4.708,-74.063,1,2020,Colombia,Not found,Carrera 54,Not found,Not found,111111.0
22793,225000.0,228.0,5.0,3.0,4.67,-74.045,1,2020,Colombia,Localidad Chapinero,Carrera 7A,Not found,Not found,110221.0
22795,25875.0,56.0,2.0,3.0,7.893,-72.484,3,2019,Colombia,Not found,Calle 13,Not found,Norte de Santander,540003.0
22797,16852.5,44.0,2.0,2.0,4.584,-74.205,3,2019,Colombia,Not found,Avenida Calle 30,Not found,Not found,250054.0
22799,38250.0,110.0,2.0,4.0,4.831,-75.667,3,2019,Colombia,Not found,Not found,Not found,Risaralda,661001.0
22800,93375.0,111.0,3.0,2.0,3.281,-76.527,3,2019,Colombia,Not found,Autopista Cali - Jamundi,Not found,Valle del Cauca,764001.0
22801,33750.0,67.0,2.0,3.0,4.711,-74.232,3,2019,Colombia,Not found,Not found,Not found,Not found,250040.0
22802,135000.0,205.0,4.0,3.0,3.419,-76.487,3,2019,Colombia,Comuna 15,Calle 78,Not found,Valle del Cauca,760020.0
22803,37125.0,86.0,3.0,3.0,3.42,-76.55199999999999,3,2019,Colombia,Comuna 19,Carrera 46,Not found,Valle del Cauca,760040.0
22804,101250.0,180.0,5.0,5.0,3.398,-76.53399999999999,3,2019,Colombia,Comuna 17,Carrera 66,Not found,Valle del Cauca,760033.0
