Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province
509367.2,205.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
490751.0,205.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
453343.8,191.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
482885.0,205.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
454480.0,185.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
459461.8,183.0,5.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
183540.0,400.0,5.0,5.0,-11.8009757692,-77.1781474873,03,2020,Perú,Lima
397755.652,246.0,5.0,5.0,-12.3860968,-76.7830232,03,2020,Perú,Lima
305900.0,200.0,6.0,8.0,-12.1777308,-77.0080503,03,2020,Perú,Lima
48070.0,65.0,2.0,0.0,-12.2292402,-76.8928489,02,2020,Perú,Lima
131100.0,70.0,2.0,0.0,-12.0864554,-77.063308,02,2020,Perú,Lima
25346.0,118.0,1.0,1.0,-11.9550235,-77.0525587,02,2020,Perú,Lima
54188.0,138.0,2.0,1.0,-12.2444373,-76.9434208,02,2020,Perú,Lima
87400.0,72.0,2.0,2.0,-12.1439791022,-77.010092179,02,2020,Perú,Lima
56420.0,45.0,1.0,2.0,-12.0729997,-77.0320909,02,2020,Perú,Lima
126730.0,248.0,2.0,2.0,-12.3001198677,-76.8524038734,02,2020,Perú,Lima
104880.0,148.0,3.0,2.0,-12.2352312,-76.8959555,02,2020,Perú,Lima
65113.0,60.0,2.0,2.0,-12.0527222,-77.0668634,02,2020,Perú,Lima
30380.0,62.0,2.0,3.0,-11.8698725493,-77.049242264,02,2020,Perú,Lima
87400.0,89.0,2.0,3.0,-12.0111311,-77.0754867,02,2020,Perú,Lima
93518.0,71.0,2.0,3.0,-12.0938017639,-77.0748576344,02,2020,Perú,Lima
131100.0,122.0,3.0,3.0,-12.0891539,-77.0702286,02,2020,Perú,Lima
141588.0,105.0,3.0,3.0,-12.0269552,-77.0400282,02,2020,Perú,Lima
163438.0,137.0,2.0,3.0,-12.0851532231,-77.0530160421,02,2020,Perú,Lima
42826.0,62.0,1.0,3.0,-12.0163149,-76.8890266,02,2020,Perú,Lima
358340.0,253.0,4.0,3.0,-12.100451,-76.9924051,02,2020,Perú,Lima
164312.0,79.0,2.0,3.0,-12.0752423,-77.0692591,02,2020,Perú,Lima
297684.4,200.0,3.0,3.0,-12.1340473,-76.9941625,02,2020,Perú,Lima
244720.0,275.0,2.0,3.0,-12.0467823102,-77.0424106772,02,2020,Perú,Lima
39060.0,66.0,2.0,3.0,-11.9849679595,-76.8213571619,02,2020,Perú,Lima
50692.0,74.0,2.0,3.0,-16.3919389,-71.5110041,02,2020,Perú,Arequipa
393300.0,300.0,3.0,4.0,-12.1523905,-77.0064328,02,2020,Perú,Lima
306690.97,244.0,3.0,4.0,-12.1228345,-76.9857116,02,2020,Perú,Lima
308487.04,244.0,3.0,4.0,-12.1279219,-76.9875224,02,2020,Perú,Lima
202549.5,125.0,3.0,4.0,-12.1279219,-76.9875224,02,2020,Perú,Lima
409032.0,275.0,3.0,4.0,-12.134236089,-76.9919500079,02,2020,Perú,Lima
260307.79,213.0,3.0,4.0,-12.1336431837,-76.9828542254,02,2020,Perú,Lima
148580.0,172.0,3.0,4.0,-12.0551789,-76.9535868,02,2020,Perú,Lima
161690.0,153.0,1.0,4.0,-12.0632421,-77.0310989,02,2020,Perú,Lima
196650.0,134.0,3.0,4.0,-12.9269444,-76.5044444,02,2020,Perú,Lima
336490.0,250.0,4.0,4.0,-8.1019482,-79.0298967,02,2020,Perú,La-Libertad
111872.0,58.0,6.0,7.0,-12.0229815,-77.0311704,02,2020,Perú,Lima
480700.0,2190.0,6.0,7.0,-11.9947642,-76.7682775,02,2020,Perú,Lima
393300.0,3674.0,6.0,7.0,-12.585492729,-76.6759681281,02,2020,Perú,Lima
66948.4,73.0,2.0,2.0,-12.084433,-77.0990004,03,2020,Perú,Lima
65550.0,49.0,1.0,2.0,-12.1385530056,-77.0010468127,03,2020,Perú,Lima
218500.0,116.0,2.0,2.0,-12.1116829,-76.9829118,03,2020,Perú,Lima
