Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province,City,Rooms,TotalArea,PropertyType,OperationType
141588.0,82.0,2.0,3.0,-12.0926388,-77.0809067,2,2020,Perú,Lima,Lima,0.0,82.0,Departamento,Venta
43700.0,53.0,2.0,3.0,-11.8243769,-77.0414486,2,2020,Perú,Lima,Lima,0.0,53.0,Departamento,Venta
109250.0,120.0,2.0,3.0,-12.0128308931,-77.0763684655,2,2020,Perú,Lima,Lima,0.0,120.0,Departamento,Venta
87400.0,87.0,2.0,3.0,-13.5159052,-71.968292,2,2020,Perú,Cusco,Cusco,0.0,87.0,Departamento,Venta
74290.0,96.0,2.0,3.0,-16.4102933404,-71.5299977778,2,2020,Perú,Arequipa,Arequipa,0.0,96.0,Departamento,Venta
106628.0,180.0,2.0,3.0,-16.3950240233,-71.5569639048,2,2020,Perú,Arequipa,Arequipa,0.0,180.0,Departamento,Venta
113620.0,165.0,2.0,4.0,-12.0243662248,-76.9336230754,2,2020,Perú,Lima,Lima,0.0,165.0,Departamento,Venta
113620.0,165.0,2.0,4.0,-12.0243137576,-76.9336338043,2,2020,Perú,Lima,Lima,0.0,165.0,Departamento,Venta
82156.0,79.0,3.0,3.0,-12.083934,-77.09019,2,2020,Perú,Lima,Lima,0.0,79.0,Casa,Venta
160816.0,105.0,3.0,3.0,-12.1230652591,-76.9923430733,2,2020,Perú,Lima,Lima,0.0,105.0,Departamento,Venta
288420.0,190.0,3.0,3.0,-12.1138250338,-76.9870517547,2,2020,Perú,Lima,Lima,0.0,190.0,Departamento,Venta
147706.0,93.0,3.0,3.0,-12.1186704008,-77.0078697489,2,2020,Perú,Lima,Lima,0.0,93.0,Departamento,Venta
216752.0,160.0,3.0,3.0,-12.1277984063,-76.9751249397,2,2020,Perú,Lima,Lima,0.0,160.0,Departamento,Venta
284137.4,197.0,3.0,3.0,-12.1138250338,-76.9870517547,2,2020,Perú,Lima,Lima,0.0,197.0,Departamento,Venta
131100.0,123.0,3.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,123.0,Departamento,Venta
202768.0,218.0,3.0,3.0,-16.3755288659,-71.5438232712,2,2020,Perú,Arequipa,Arequipa,0.0,218.0,Departamento,Venta
155572.0,147.0,3.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,147.0,Departamento,Venta
159942.0,147.0,3.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,147.0,Departamento,Venta
415150.0,179.0,3.0,4.0,-12.0707481,-76.9398715,2,2020,Perú,Lima,Lima,0.0,271.0,Casa,Venta
244720.0,205.0,3.0,4.0,-6.7701547,-79.8592547,2,2020,Perú,Lambayeque,Chiclayo,0.0,260.0,Casa,Venta
368870.826,243.0,3.0,4.0,-12.1146763851,-76.9861152773,2,2020,Perú,Lima,Lima,0.0,243.0,Departamento,Venta
463220.0,260.0,3.0,4.0,-12.1154736163,-76.9865444307,2,2020,Perú,Lima,Lima,0.0,260.0,Departamento,Venta
