start: 
Current Time = 04:18:45
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (24471, 9)
Device used : cuda
epoch 63 | loss: 216733149038.05057| val_0_rmse: 465915.90171| val_0_mse: 217077627461.7907| val_0_mae: 439922.05841| val_1_rmse: 466233.23587| val_1_mse: 217373430231.49084| val_1_mae: 440616.90948|  0:01:42s
epoch 64 | loss: 216295700577.82272| val_0_rmse: 463725.12122| val_0_mse: 215040988049.86108| val_0_mae: 437859.61794| val_1_rmse: 464077.76018| val_1_mse: 215368167494.5241| val_1_mae: 438609.03254|  0:01:43s
epoch 65 | loss: 215875898706.71777| val_0_rmse: 464809.48464| val_0_mse: 216047857007.59335| val_0_mae: 438827.77841| val_1_rmse: 465084.61169| val_1_mse: 216303696034.7794| val_1_mae: 439501.26478|  0:01:45s
epoch 66 | loss: 215521990998.6411| val_0_rmse: 463564.54517| val_0_mse: 214892087543.15964| val_0_mae: 437824.37406| val_1_rmse: 463888.46367| val_1_mse: 215192506722.789| val_1_mae: 438530.19285|  0:01:46s
epoch 67 | loss: 215147100228.52823| val_0_rmse: 464598.98242| val_0_mse: 215852214466.03665| val_0_mae: 438611.44613| val_1_rmse: 464875.15983| val_1_mse: 216108914230.3701| val_1_mae: 439278.43231|  0:01:48s
epoch 68 | loss: 214784533624.57828| val_0_rmse: 465378.04888| val_0_mse: 216576728383.99365| val_0_mae: 439440.50069| val_1_rmse: 465637.02675| val_1_mse: 216817840682.82068| val_1_mae: 440076.20075|  0:01:49s
epoch 69 | loss: 214344988108.60385| val_0_rmse: 460219.67238| val_0_mse: 211802146841.5767| val_0_mae: 434495.7341| val_1_rmse: 460537.1004| val_1_mse: 212094420845.31805| val_1_mae: 435195.36405|  0:01:51s
epoch 70 | loss: 213927673424.95224| val_0_rmse: 462012.08432| val_0_mse: 213455166056.6025| val_0_mae: 436274.17141| val_1_rmse: 462290.83534| val_1_mse: 213712816438.04523| val_1_mae: 436940.35811|  0:01:52s
epoch 71 | loss: 213573845163.58212| val_0_rmse: 459694.38616| val_0_mse: 211318928664.7054| val_0_mae: 433811.97462| val_1_rmse: 459971.95879| val_1_mse: 211574202874.0783| val_1_mae: 434487.01411|  0:01:54s
epoch 72 | loss: 213146561123.52283| val_0_rmse: 461099.96256| val_0_mse: 212613175472.32843| val_0_mae: 435374.15806| val_1_rmse: 461376.10716| val_1_mse: 212867912254.45215| val_1_mae: 436034.53947|  0:01:56s
epoch 73 | loss: 212715643296.4005| val_0_rmse: 461193.1302| val_0_mse: 212699103345.82587| val_0_mae: 435539.18839| val_1_rmse: 461512.49472| val_1_mse: 212993782786.0435| val_1_mae: 436270.48127|  0:01:57s
epoch 74 | loss: 212300459834.26205| val_0_rmse: 460284.01738| val_0_mse: 211861376659.7047| val_0_mae: 434682.42045| val_1_rmse: 460615.33699| val_1_mse: 212166488671.2724| val_1_mae: 435386.32517|  0:01:59s
epoch 75 | loss: 211894125678.11597| val_0_rmse: 455555.68157| val_0_mse: 207530979013.65216| val_0_mae: 429978.12373| val_1_rmse: 455820.49913| val_1_mse: 207772327424.93347| val_1_mae: 430643.28147|  0:02:00s
epoch 76 | loss: 211564387726.353| val_0_rmse: 461231.96849| val_0_mse: 212734928759.4866| val_0_mae: 435892.19815| val_1_rmse: 461431.58756| val_1_mse: 212919109997.47424| val_1_mae: 436479.88786|  0:02:02s
epoch 77 | loss: 211144328289.5612| val_0_rmse: 458566.29701| val_0_mse: 210283048750.6747| val_0_mae: 433108.58072| val_1_rmse: 458815.87473| val_1_mse: 210512006906.04413| val_1_mae: 433756.43923|  0:02:03s
epoch 78 | loss: 210685864329.90652| val_0_rmse: 456656.98858| val_0_mse: 208535605218.80435| val_0_mae: 431368.31561| val_1_rmse: 456867.11131| val_1_mse: 208727557400.03632| val_1_mae: 431998.41411|  0:02:05s
epoch 79 | loss: 210240771597.47025| val_0_rmse: 462549.25885| val_0_mse: 213951816860.15976| val_0_mae: 437003.76436| val_1_rmse: 462696.73573| val_1_mse: 214088269259.65237| val_1_mae: 437553.36028|  0:02:06s
epoch 80 | loss: 209841794003.7967| val_0_rmse: 458058.7338| val_0_mse: 209817803608.01855| val_0_mae: 432679.19716| val_1_rmse: 458252.83485| val_1_mse: 209995660652.4049| val_1_mae: 433271.08913|  0:02:08s
epoch 81 | loss: 209427075600.3474| val_0_rmse: 459485.9108| val_0_mse: 211127302225.12204| val_0_mae: 434187.32759| val_1_rmse: 459626.98418| val_1_mse: 211256964590.73947| val_1_mae: 434725.7583|  0:02:09s
epoch 82 | loss: 208917695374.74533| val_0_rmse: 458201.0124| val_0_mse: 209948167768.64948| val_0_mae: 432616.80935| val_1_rmse: 458581.76415| val_1_mse: 210297234408.09915| val_1_mae: 433342.93417|  0:02:11s
epoch 83 | loss: 208423896546.5747| val_0_rmse: 460374.64701| val_0_mse: 211944815611.24127| val_0_mae: 434724.26781| val_1_rmse: 460562.81905| val_1_mse: 212118110295.60223| val_1_mae: 435305.9315|  0:02:12s
epoch 84 | loss: 207986848496.24112| val_0_rmse: 454906.74984| val_0_mse: 206940151051.36417| val_0_mae: 429348.1206| val_1_rmse: 455191.36841| val_1_mse: 207199181874.1417| val_1_mae: 430014.05878|  0:02:14s
epoch 85 | loss: 207550311015.7078| val_0_rmse: 456156.51347| val_0_mse: 208078764778.5225| val_0_mae: 431113.3381| val_1_rmse: 456432.39798| val_1_mse: 208330533929.34927| val_1_mae: 431767.31176|  0:02:15s
epoch 86 | loss: 207124448115.02017| val_0_rmse: 451868.40299| val_0_mse: 204185053618.4198| val_0_mae: 426345.46345| val_1_rmse: 452005.40343| val_1_mse: 204308884733.03625| val_1_mae: 426884.53476|  0:02:17s
epoch 87 | loss: 206644387381.7502| val_0_rmse: 452079.27958| val_0_mse: 204375675029.23935| val_0_mae: 426713.41722| val_1_rmse: 452214.18317| val_1_mse: 204497667459.87628| val_1_mae: 427254.1818|  0:02:18s
epoch 88 | loss: 206211308620.1134| val_0_rmse: 455818.95857| val_0_mse: 207770922994.49854| val_0_mae: 430963.57698| val_1_rmse: 456032.15263| val_1_mse: 207965324231.33453| val_1_mae: 431601.8903|  0:02:20s
epoch 89 | loss: 205851261590.78824| val_0_rmse: 461632.38256| val_0_mse: 213104456631.145| val_0_mae: 435946.88474| val_1_rmse: 461782.19033| val_1_mse: 213242791304.8076| val_1_mae: 436521.67139|  0:02:21s
epoch 90 | loss: 205538618277.76245| val_0_rmse: 452743.62911| val_0_mse: 204976793701.86755| val_0_mae: 427112.43528| val_1_rmse: 452873.57028| val_1_mse: 205094470661.61975| val_1_mae: 427640.0188|  0:02:23s
epoch 91 | loss: 205178749220.94507| val_0_rmse: 454291.1611| val_0_mse: 206380459049.56952| val_0_mae: 429183.6366| val_1_rmse: 454483.05827| val_1_mse: 206554850258.53064| val_1_mae: 429780.87594|  0:02:24s
epoch 92 | loss: 204730043927.40945| val_0_rmse: 451123.70614| val_0_mse: 203512598238.0544| val_0_mae: 426336.46468| val_1_rmse: 451332.05967| val_1_mse: 203700628086.94263| val_1_mae: 426924.65869|  0:02:26s
epoch 93 | loss: 204170683106.6401| val_0_rmse: 455676.09611| val_0_mse: 207640704570.4099| val_0_mae: 430831.23875| val_1_rmse: 455949.61853| val_1_mse: 207890054641.4234| val_1_mae: 431470.80831|  0:02:28s
epoch 94 | loss: 203608001493.88913| val_0_rmse: 444202.52439| val_0_mse: 197315882670.6959| val_0_mae: 419647.29409| val_1_rmse: 444440.9947| val_1_mse: 197527797765.97357| val_1_mae: 420296.60893|  0:02:29s
epoch 95 | loss: 203046000099.62097| val_0_rmse: 453226.65633| val_0_mse: 205414402006.02673| val_0_mae: 428298.43078| val_1_rmse: 453431.17246| val_1_mse: 205599828159.79373| val_1_mae: 428891.85794|  0:02:31s
epoch 96 | loss: 202545417533.7931| val_0_rmse: 448599.30727| val_0_mse: 201241338482.2122| val_0_mae: 423682.37448| val_1_rmse: 448874.65123| val_1_mse: 201488452518.29333| val_1_mae: 424370.00662|  0:02:32s
epoch 97 | loss: 202217725435.16116| val_0_rmse: 453041.61517| val_0_mse: 205246705077.53845| val_0_mae: 427932.77278| val_1_rmse: 453189.95764| val_1_mse: 205381137707.19156| val_1_mae: 428475.15276|  0:02:34s
epoch 98 | loss: 201809262346.65848| val_0_rmse: 448307.05657| val_0_mse: 200979216968.3787| val_0_mae: 423742.61015| val_1_rmse: 448464.57787| val_1_mse: 201120477608.1686| val_1_mae: 424334.66478|  0:02:35s
epoch 99 | loss: 201369563080.54968| val_0_rmse: 441221.14837| val_0_mse: 194676101771.57593| val_0_mae: 416343.46337| val_1_rmse: 441550.66797| val_1_mse: 194966992388.14435| val_1_mae: 417067.57177|  0:02:37s
epoch 100| loss: 200885876528.32288| val_0_rmse: 447057.85575| val_0_mse: 199860726391.11234| val_0_mae: 422488.33508| val_1_rmse: 447268.58237| val_1_mse: 200049184775.09225| val_1_mae: 423111.40027|  0:02:38s
epoch 101| loss: 200466075774.59412| val_0_rmse: 439403.47329| val_0_mse: 193075412336.705| val_0_mae: 415195.6928| val_1_rmse: 439733.42331| val_1_mse: 193365483572.1602| val_1_mae: 415910.18895|  0:02:40s
epoch 102| loss: 199982893665.4304| val_0_rmse: 448701.25389| val_0_mse: 201332815245.92215| val_0_mae: 424209.29512| val_1_rmse: 448799.86435| val_1_mse: 201421318240.9044| val_1_mae: 424702.10198|  0:02:41s
epoch 103| loss: 199466255131.13663| val_0_rmse: 445591.90729| val_0_mse: 198552147842.24768| val_0_mae: 421302.22138| val_1_rmse: 445712.54988| val_1_mse: 198659677122.0228| val_1_mae: 421800.74077|  0:02:43s
epoch 104| loss: 198907764842.71567| val_0_rmse: 441957.60565| val_0_mse: 195326525189.7272| val_0_mae: 417825.93692| val_1_rmse: 441921.88929| val_1_mse: 195294956237.73557| val_1_mae: 418164.15327|  0:02:44s
epoch 105| loss: 198376612494.94147| val_0_rmse: 450619.74068| val_0_mse: 203058150687.9166| val_0_mae: 425818.93484| val_1_rmse: 450791.8069| val_1_mse: 203213253172.0084| val_1_mae: 426366.54241|  0:02:46s
epoch 106| loss: 197870374712.1696| val_0_rmse: 446552.41008| val_0_mse: 199409054947.02283| val_0_mae: 422020.40819| val_1_rmse: 446551.56962| val_1_mse: 199408304329.13297| val_1_mae: 422468.13463|  0:02:47s
epoch 107| loss: 197285433102.3203| val_0_rmse: 443996.4114| val_0_mse: 197132813337.71387| val_0_mae: 419614.45199| val_1_rmse: 444209.83368| val_1_mse: 197322376336.98416| val_1_mae: 420268.53643|  0:02:49s
epoch 108| loss: 196655629275.64343| val_0_rmse: 439688.33204| val_0_mse: 193325829332.65384| val_0_mae: 415292.57734| val_1_rmse: 439881.24473| val_1_mse: 193495509467.3492| val_1_mae: 415925.37363|  0:02:50s
epoch 109| loss: 196080733899.3614| val_0_rmse: 443826.05518| val_0_mse: 196981567256.82047| val_0_mae: 419778.90112| val_1_rmse: 443913.40393| val_1_mse: 197059110185.8354| val_1_mae: 420218.82518|  0:02:52s
epoch 110| loss: 195506030958.70447| val_0_rmse: 436933.58768| val_0_mse: 190910960043.90976| val_0_mae: 413354.98788| val_1_rmse: 437235.75737| val_1_mse: 191175107519.34747| val_1_mae: 414053.29952|  0:02:53s
epoch 111| loss: 195042780263.83856| val_0_rmse: 435866.87546| val_0_mse: 189979933123.86917| val_0_mae: 411494.26913| val_1_rmse: 436173.02059| val_1_mse: 190246903891.47192| val_1_mae: 412187.21617|  0:02:55s
epoch 112| loss: 194777861839.54636| val_0_rmse: 438827.24423| val_0_mse: 192569350274.84097| val_0_mae: 413955.84133| val_1_rmse: 438937.32877| val_1_mse: 192665978587.58496| val_1_mae: 414423.65234|  0:02:57s
epoch 113| loss: 194561654537.08917| val_0_rmse: 441521.65283| val_0_mse: 194941369919.13223| val_0_mae: 417641.54612| val_1_rmse: 441515.71928| val_1_mse: 194936130370.32578| val_1_mae: 418024.61602|  0:02:58s
epoch 114| loss: 194125102166.57578| val_0_rmse: 443871.55165| val_0_mse: 197021954360.22177| val_0_mae: 419398.60549| val_1_rmse: 443828.26017| val_1_mse: 196983524526.33603| val_1_mae: 419732.13413|  0:03:00s
epoch 115| loss: 193617770836.54865| val_0_rmse: 429257.53711| val_0_mse: 184262033165.33832| val_0_mae: 405115.025| val_1_rmse: 429481.99095| val_1_mse: 184454780554.23447| val_1_mae: 405659.93163|  0:03:01s
