start: 
Current Time = 04:38:46
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (26510, 9)
Device used : cuda
epoch 51 | loss: 138233113596.0165| val_0_rmse: 371195.85323| val_0_mse: 137786361458.75095| val_0_mae: 342954.61608| val_1_rmse: 369442.84647| val_1_mse: 136488016811.41168| val_1_mae: 340944.84266|  0:02:13s
epoch 52 | loss: 137995469995.53174| val_0_rmse: 371294.6296| val_0_mse: 137859701971.689| val_0_mae: 342997.60384| val_1_rmse: 369574.17816| val_1_mse: 136585073162.6827| val_1_mae: 341035.68808|  0:02:16s
epoch 53 | loss: 137750351561.52872| val_0_rmse: 372336.00445| val_0_mse: 138634100210.01343| val_0_mae: 343888.34837| val_1_rmse: 370605.13051| val_1_mse: 137348162761.82918| val_1_mae: 341916.51586|  0:02:18s
epoch 54 | loss: 137513723273.64188| val_0_rmse: 369380.60856| val_0_mse: 136442033982.35774| val_0_mae: 341236.47355| val_1_rmse: 367674.26707| val_1_mse: 135184366664.4244| val_1_mae: 339285.36646|  0:02:20s
epoch 55 | loss: 137251656460.76527| val_0_rmse: 369838.17056| val_0_mse: 136780272404.26338| val_0_mae: 341799.07467| val_1_rmse: 368169.87749| val_1_mse: 135549058690.8364| val_1_mae: 339875.55834|  0:02:23s
epoch 56 | loss: 137013584435.00082| val_0_rmse: 369716.24832| val_0_mse: 136690104273.59312| val_0_mae: 341731.94715| val_1_rmse: 368029.38229| val_1_mse: 135445626229.692| val_1_mae: 339795.35722|  0:02:25s
epoch 57 | loss: 136756367892.5814| val_0_rmse: 369549.48441| val_0_mse: 136566821429.528| val_0_mae: 341443.61219| val_1_rmse: 367835.29357| val_1_mse: 135302803199.15189| val_1_mae: 339479.50069|  0:02:27s
epoch 58 | loss: 136501264326.05823| val_0_rmse: 369547.10782| val_0_mse: 136565064894.49384| val_0_mae: 341179.87856| val_1_rmse: 367813.78307| val_1_mse: 135286979013.68768| val_1_mae: 339197.02228|  0:02:29s
epoch 59 | loss: 136251940725.90546| val_0_rmse: 366894.40485| val_0_mse: 134611504313.80463| val_0_mae: 338868.87645| val_1_rmse: 365172.97319| val_1_mse: 133351300350.98167| val_1_mae: 336898.33329|  0:02:32s
epoch 60 | loss: 136007815677.4047| val_0_rmse: 369881.24222| val_0_mse: 136812133342.92906| val_0_mae: 341536.68527| val_1_rmse: 368195.33784| val_1_mse: 135567806804.71301| val_1_mae: 339592.15291|  0:02:34s
epoch 61 | loss: 135766181603.36105| val_0_rmse: 366479.63368| val_0_mse: 134307321901.11633| val_0_mae: 338555.64702| val_1_rmse: 364846.58873| val_1_mse: 133113033306.39474| val_1_mae: 336632.92071|  0:02:36s
epoch 62 | loss: 135510490355.71756| val_0_rmse: 369553.22141| val_0_mse: 136569583455.41486| val_0_mae: 341595.66416| val_1_rmse: 367851.39191| val_1_mse: 135314646527.4132| val_1_mae: 339673.3748|  0:02:38s
epoch 63 | loss: 135223430091.7317| val_0_rmse: 365847.51587| val_0_mse: 133844404865.411| val_0_mae: 338077.01526| val_1_rmse: 364115.77334| val_1_mse: 132580296395.4622| val_1_mae: 336118.13341|  0:02:41s
epoch 64 | loss: 134929700290.1351| val_0_rmse: 368535.53733| val_0_mse: 135818442271.68163| val_0_mae: 340394.94957| val_1_rmse: 366765.76014| val_1_mse: 134517122812.47766| val_1_mae: 338400.35499|  0:02:43s
epoch 65 | loss: 134641214451.08382| val_0_rmse: 364210.5254| val_0_mse: 132649306810.60118| val_0_mae: 336367.706| val_1_rmse: 362593.94139| val_1_mse: 131474366336.1585| val_1_mae: 334473.7541|  0:02:45s
epoch 66 | loss: 134363019630.7231| val_0_rmse: 367601.14334| val_0_mse: 135130600581.96938| val_0_mae: 339960.15257| val_1_rmse: 365953.40741| val_1_mse: 133921896396.84103| val_1_mae: 338033.196|  0:02:47s
epoch 67 | loss: 134093167251.32903| val_0_rmse: 364305.63558| val_0_mse: 132718596113.78555| val_0_mae: 336701.59218| val_1_rmse: 362659.85727| val_1_mse: 131522172074.18202| val_1_mae: 334788.95694|  0:02:50s
epoch 68 | loss: 133798551385.90025| val_0_rmse: 369160.73648| val_0_mse: 136279649355.83739| val_0_mae: 341167.37132| val_1_rmse: 367376.10033| val_1_mse: 134965199093.73611| val_1_mae: 339161.71785|  0:02:52s
epoch 69 | loss: 133493963613.1595| val_0_rmse: 364627.94792| val_0_mse: 132953540405.0443| val_0_mae: 336992.03339| val_1_rmse: 362946.77205| val_1_mse: 131730359339.54204| val_1_mae: 335055.96401|  0:02:54s
epoch 70 | loss: 133196444554.30579| val_0_rmse: 366736.54862| val_0_mse: 134495696095.3726| val_0_mae: 338797.14477| val_1_rmse: 365057.7686| val_1_mse: 133267174416.67445| val_1_mae: 336838.56208|  0:02:57s
epoch 71 | loss: 132967674133.63763| val_0_rmse: 365579.74769| val_0_mse: 133648551923.9083| val_0_mae: 338026.73841| val_1_rmse: 363920.40296| val_1_mse: 132438059689.95836| val_1_mae: 336099.39078|  0:02:59s
epoch 72 | loss: 132729834075.80148| val_0_rmse: 365983.83431| val_0_mse: 133944166976.5375| val_0_mae: 338274.43848| val_1_rmse: 364348.49605| val_1_mse: 132749826574.3887| val_1_mae: 336377.95533|  0:03:01s
epoch 73 | loss: 132427389640.4423| val_0_rmse: 360282.26299| val_0_mse: 129803309028.19258| val_0_mae: 332881.41371| val_1_rmse: 358636.27168| val_1_mse: 128619975366.98453| val_1_mae: 330969.22259|  0:03:03s
epoch 74 | loss: 132081959605.3698| val_0_rmse: 364716.56289| val_0_mse: 133018171247.11664| val_0_mae: 337110.64051| val_1_rmse: 363010.64534| val_1_mse: 131776728628.9927| val_1_mae: 335170.36413|  0:03:06s
epoch 75 | loss: 131735528821.36226| val_0_rmse: 361936.75093| val_0_mse: 130998211673.88272| val_0_mae: 334547.44492| val_1_rmse: 360393.5054| val_1_mse: 129883478732.92535| val_1_mae: 332705.87016|  0:03:08s
epoch 76 | loss: 131441198814.5326| val_0_rmse: 358177.30638| val_0_mse: 128290982803.64842| val_0_mae: 330832.98485| val_1_rmse: 356614.46142| val_1_mse: 127173874091.2537| val_1_mae: 328983.43657|  0:03:10s
epoch 77 | loss: 131110770301.48013| val_0_rmse: 360542.69044| val_0_mse: 129991031626.75005| val_0_mae: 333240.94601| val_1_rmse: 358894.43076| val_1_mse: 128805212431.43697| val_1_mae: 331315.41314|  0:03:12s
epoch 78 | loss: 130790199982.12708| val_0_rmse: 360079.17523| val_0_mse: 129657012434.99033| val_0_mae: 333071.27409| val_1_rmse: 358429.1071| val_1_mse: 128471424812.93556| val_1_mae: 331141.63975|  0:03:15s
epoch 79 | loss: 130530125436.99728| val_0_rmse: 361486.5561| val_0_mse: 130672530240.62653| val_0_mae: 333904.61882| val_1_rmse: 359761.93563| val_1_mse: 129428650324.9998| val_1_mae: 331913.59161|  0:03:17s
epoch 80 | loss: 130198606285.11987| val_0_rmse: 357545.32572| val_0_mse: 127838659940.85461| val_0_mae: 330156.66657| val_1_rmse: 356037.54836| val_1_mse: 126762735845.5816| val_1_mae: 328325.29164|  0:03:19s
epoch 81 | loss: 129880462133.32452| val_0_rmse: 358294.48231| val_0_mse: 128374936053.22246| val_0_mae: 331101.29988| val_1_rmse: 356844.50801| val_1_mse: 127338002896.70673| val_1_mae: 329330.96235|  0:03:21s
