start: 
Current Time = 03:18:07
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, train/test division is 60/20/20
Dataset total size after normalization: (24471, 9)
TABNET LOGS:

Starting training: 
Current Time = 03:18:07
Device used : cuda
epoch 68 | loss: 216850857883.5668| val_0_rmse: 467073.28253| val_0_mse: 218157451251.119| val_0_mae: 441051.89102| val_1_rmse: 463889.59536| val_1_mse: 215193556687.5822| val_1_mae: 438324.1932|  0:01:31s
epoch 69 | loss: 216554350549.3159| val_0_rmse: 464754.1427| val_0_mse: 215996413155.72067| val_0_mae: 439138.31624| val_1_rmse: 461610.2716| val_1_mse: 213084042843.29745| val_1_mae: 436432.86596|  0:01:32s
epoch 70 | loss: 216220978320.09372| val_0_rmse: 463041.67471| val_0_mse: 214407592517.68597| val_0_mae: 437443.63299| val_1_rmse: 459915.09608| val_1_mse: 211521895598.449| val_1_mae: 434769.34694|  0:01:34s
epoch 71 | loss: 215916490533.8368| val_0_rmse: 465886.07195| val_0_mse: 217049832034.19653| val_0_mae: 440267.77612| val_1_rmse: 462716.46073| val_1_mse: 214106523028.4143| val_1_mae: 437535.92282|  0:01:35s
epoch 72 | loss: 215592166410.4618| val_0_rmse: 463054.21396| val_0_mse: 214419205070.41345| val_0_mae: 437409.21378| val_1_rmse: 459893.59251| val_1_mse: 211502116430.27188| val_1_mae: 434676.77398|  0:01:36s
epoch 73 | loss: 215244149505.42975| val_0_rmse: 464483.67425| val_0_mse: 215745083649.02747| val_0_mae: 438768.17425| val_1_rmse: 461376.72117| val_1_mse: 212868478837.0577| val_1_mae: 436095.05911|  0:01:38s
epoch 74 | loss: 214850731775.33743| val_0_rmse: 462922.43061| val_0_mse: 214297176761.0248| val_0_mae: 437266.70772| val_1_rmse: 459822.62926| val_1_mse: 211436850375.0187| val_1_mae: 434610.30431|  0:01:39s
epoch 75 | loss: 214433943913.00146| val_0_rmse: 463189.33242| val_0_mse: 214544357671.34647| val_0_mae: 437559.15753| val_1_rmse: 460096.61386| val_1_mse: 211688894086.05124| val_1_mae: 434915.6496|  0:01:41s
epoch 76 | loss: 214006076355.6006| val_0_rmse: 462317.72239| val_0_mse: 213737676436.5434| val_0_mae: 436653.00124| val_1_rmse: 459221.67182| val_1_mse: 210884543868.00793| val_1_mae: 434019.56768|  0:01:42s
epoch 77 | loss: 213610791400.77484| val_0_rmse: 461205.7222| val_0_mse: 212710718192.43777| val_0_mae: 435619.86749| val_1_rmse: 458100.73588| val_1_mse: 209856284216.8509| val_1_mae: 432932.03096|  0:01:44s
epoch 78 | loss: 213235129529.9409| val_0_rmse: 458201.2077| val_0_mse: 209948346736.0167| val_0_mae: 432946.74947| val_1_rmse: 455086.02768| val_1_mse: 207103292590.14215| val_1_mae: 430279.9395|  0:01:46s
epoch 79 | loss: 212843539351.2426| val_0_rmse: 459924.65406| val_0_mse: 211530687407.6326| val_0_mae: 434468.99676| val_1_rmse: 456802.17263| val_1_mse: 208668224918.75296| val_1_mae: 431814.14373|  0:01:47s
epoch 80 | loss: 212458652188.10733| val_0_rmse: 461778.38584| val_0_mse: 213239277629.7064| val_0_mae: 436328.3198| val_1_rmse: 458657.78663| val_1_mse: 210366965240.11905| val_1_mae: 433654.02281|  0:01:48s
epoch 81 | loss: 212047597870.97345| val_0_rmse: 461365.45058| val_0_mse: 212858078986.43268| val_0_mae: 435938.08555| val_1_rmse: 458232.18515| val_1_mse: 209976735503.588| val_1_mae: 433264.46046|  0:01:50s
epoch 82 | loss: 211675805335.83545| val_0_rmse: 459587.1715| val_0_mse: 211220368207.86188| val_0_mae: 434259.81758| val_1_rmse: 456503.50417| val_1_mse: 208395449318.30917| val_1_mae: 431628.78141|  0:01:51s
epoch 83 | loss: 211316587499.49493| val_0_rmse: 459575.6158| val_0_mse: 211209746634.6656| val_0_mae: 434438.03903| val_1_rmse: 456430.69256| val_1_mse: 208328977114.16895| val_1_mae: 431720.1498|  0:01:53s
epoch 84 | loss: 210931877232.6735| val_0_rmse: 458277.38749| val_0_mse: 210018163883.10535| val_0_mae: 432715.30296| val_1_rmse: 455165.2724| val_1_mse: 207175425196.53253| val_1_mae: 430079.57248|  0:01:54s
epoch 85 | loss: 210537271596.74155| val_0_rmse: 458399.32133| val_0_mse: 210129937796.07327| val_0_mae: 432969.02196| val_1_rmse: 455264.92262| val_1_mse: 207266149772.09863| val_1_mae: 430288.15098|  0:01:56s
epoch 86 | loss: 210202721469.28867| val_0_rmse: 460390.07009| val_0_mse: 211959016638.2893| val_0_mae: 435152.52404| val_1_rmse: 457209.80954| val_1_mse: 209040809936.32935| val_1_mae: 432385.62623|  0:01:57s
epoch 87 | loss: 209846663039.9477| val_0_rmse: 457416.25421| val_0_mse: 209229629613.2326| val_0_mae: 432281.4035| val_1_rmse: 454339.52798| val_1_mse: 206424406683.4479| val_1_mae: 429635.24823|  0:01:58s
epoch 88 | loss: 209488935332.98245| val_0_rmse: 456244.31693| val_0_mse: 208158876731.57596| val_0_mae: 430953.85337| val_1_rmse: 453131.63626| val_1_mse: 205328279783.78668| val_1_mae: 428304.92891|  0:02:00s
epoch 89 | loss: 209113832238.9037| val_0_rmse: 459475.38799| val_0_mse: 211117632167.37775| val_0_mae: 434381.58145| val_1_rmse: 456362.61021| val_1_mse: 208266831998.37985| val_1_mae: 431718.31513|  0:02:01s
epoch 90 | loss: 208732321668.41135| val_0_rmse: 455408.10574| val_0_mse: 207396542775.42307| val_0_mae: 430281.08996| val_1_rmse: 452260.14931| val_1_mse: 204539242650.27094| val_1_mae: 427575.19011|  0:02:03s
epoch 91 | loss: 208386717829.07397| val_0_rmse: 455908.71093| val_0_mse: 207852752706.0675| val_0_mae: 430792.19394| val_1_rmse: 452798.65014| val_1_mse: 205026617567.193| val_1_mae: 428136.64254|  0:02:06s
epoch 92 | loss: 207989098548.1695| val_0_rmse: 459048.09049| val_0_mse: 210725149378.66525| val_0_mae: 433903.2252| val_1_rmse: 455882.05512| val_1_mse: 207828448178.06805| val_1_mae: 431130.54392|  0:02:09s
epoch 93 | loss: 207615204426.34845| val_0_rmse: 456406.41864| val_0_mse: 208306818973.4099| val_0_mae: 431218.88015| val_1_rmse: 453292.03266| val_1_mse: 205473666874.27643| val_1_mae: 428477.39076|  0:02:12s
epoch 94 | loss: 207167249147.57117| val_0_rmse: 453672.67587| val_0_mse: 205818896832.58356| val_0_mae: 428695.24375| val_1_rmse: 450646.4688| val_1_mse: 203082239839.22485| val_1_mae: 426116.71918|  0:02:14s
epoch 95 | loss: 206647583825.88095| val_0_rmse: 454048.37909| val_0_mse: 206159930553.07553| val_0_mae: 429233.35921| val_1_rmse: 450922.31408| val_1_mse: 203330933332.36035| val_1_mae: 426527.85369|  0:02:17s
epoch 96 | loss: 206185288866.7855| val_0_rmse: 451153.48307| val_0_mse: 203539465282.47687| val_0_mae: 426297.04105| val_1_rmse: 448058.03205| val_1_mse: 200756000087.2586| val_1_mae: 423652.91715|  0:02:20s
epoch 97 | loss: 205769153614.81216| val_0_rmse: 453765.79348| val_0_mse: 205903395329.06085| val_0_mae: 428839.52134| val_1_rmse: 450719.48635| val_1_mse: 203148055373.55084| val_1_mae: 426247.86963|  0:02:23s
epoch 98 | loss: 205311278508.09644| val_0_rmse: 450862.61229| val_0_mse: 203277095159.9652| val_0_mae: 426017.2186| val_1_rmse: 447776.58966| val_1_mse: 200503874244.26657| val_1_mae: 423381.33897|  0:02:26s
epoch 99 | loss: 204855843722.4095| val_0_rmse: 454743.87728| val_0_mse: 206791993920.07913| val_0_mae: 430008.48765| val_1_rmse: 451664.07505| val_1_mse: 204000436693.8502| val_1_mae: 427350.00623|  0:02:28s
epoch 100| loss: 204432290716.54324| val_0_rmse: 451724.91467| val_0_mse: 204055398534.347| val_0_mae: 427452.12765| val_1_rmse: 448710.5529| val_1_mse: 201341160282.74017| val_1_mae: 424854.53952|  0:02:31s
epoch 101| loss: 204057905958.53427| val_0_rmse: 451099.73768| val_0_mse: 203490973331.62012| val_0_mae: 426570.48586| val_1_rmse: 448009.15598| val_1_mse: 200712203844.0508| val_1_mae: 423887.84721|  0:02:34s
epoch 102| loss: 203598363687.7548| val_0_rmse: 449792.55431| val_0_mse: 202313341910.99036| val_0_mae: 425018.28425| val_1_rmse: 446795.43785| val_1_mse: 199626163283.0646| val_1_mae: 422450.24537|  0:02:37s
epoch 103| loss: 203203633175.4344| val_0_rmse: 451840.73296| val_0_mse: 204160047965.33185| val_0_mae: 427073.94603| val_1_rmse: 448652.64516| val_1_mse: 201289196010.8534| val_1_mae: 424310.70824|  0:02:39s
epoch 104| loss: 202737328249.63577| val_0_rmse: 452289.61659| val_0_mse: 204565897272.29913| val_0_mae: 427489.30354| val_1_rmse: 449211.1498| val_1_mse: 201790657106.46515| val_1_mae: 424868.29643|  0:02:42s
epoch 105| loss: 202255639807.96512| val_0_rmse: 447944.97433| val_0_mse: 200654700026.2134| val_0_mae: 423464.68161| val_1_rmse: 444805.76291| val_1_mse: 197852166719.66052| val_1_mae: 420778.09521|  0:02:45s
epoch 106| loss: 201729238189.38672| val_0_rmse: 445781.46717| val_0_mse: 198721116473.843| val_0_mae: 421371.00171| val_1_rmse: 442682.30051| val_1_mse: 195967619186.261| val_1_mae: 418723.3123|  0:02:48s
epoch 107| loss: 201302080406.6847| val_0_rmse: 445518.89357| val_0_mse: 198487084527.69525| val_0_mae: 421733.89999| val_1_rmse: 442340.26847| val_1_mse: 195664913107.6712| val_1_mae: 418972.64183|  0:02:50s
epoch 108| loss: 200909776393.5551| val_0_rmse: 455642.50508| val_0_mse: 207610092432.21085| val_0_mae: 430986.58754| val_1_rmse: 452579.51865| val_1_mse: 204828220697.3141| val_1_mae: 428304.54784|  0:02:53s
epoch 109| loss: 200451603254.71515| val_0_rmse: 445877.86966| val_0_mse: 198807074655.9934| val_0_mae: 421310.52596| val_1_rmse: 442893.35021| val_1_mse: 196154519656.6178| val_1_mae: 418776.80683|  0:02:56s
epoch 110| loss: 199998701235.45456| val_0_rmse: 445965.74432| val_0_mse: 198885445107.9272| val_0_mae: 421647.34042| val_1_rmse: 442907.08678| val_1_mse: 196166687519.67755| val_1_mae: 419012.78924|  0:02:59s
epoch 111| loss: 199556878467.1211| val_0_rmse: 445600.28868| val_0_mse: 198559617268.53568| val_0_mae: 421034.84658| val_1_rmse: 442511.54808| val_1_mse: 195816470181.11728| val_1_mae: 418384.20285|  0:03:02s
epoch 112| loss: 199068707498.66663| val_0_rmse: 446177.04152| val_0_mse: 199073952383.72433| val_0_mae: 421945.05174| val_1_rmse: 443114.68187| val_1_mse: 196350621292.6176| val_1_mae: 419287.87662|  0:03:04s
epoch 113| loss: 198566607396.1978| val_0_rmse: 443781.44437| val_0_mse: 196941970367.9284| val_0_mae: 419722.82302| val_1_rmse: 440662.56083| val_1_mse: 194183492512.8798| val_1_mae: 417014.60856|  0:03:07s
epoch 114| loss: 198093550093.04236| val_0_rmse: 441281.47734| val_0_mse: 194729342245.67468| val_0_mae: 417182.363| val_1_rmse: 438172.65989| val_1_mse: 191995279873.86877| val_1_mae: 414505.97472|  0:03:10s
